JOBID	ST	WORKDIR	NAME	RESULT
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_161868-Ce1Ge3Ir1	icsd_161868-Ce1Ge3Ir1.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_610002-Ce1Co2As2	icsd_610002-Ce1Co2As2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_629346-Tl1Cu2Te2	icsd_629346-Tl1Cu2Te2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_616555-Ce4Bi2	icsd_616555-Ce4Bi2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_627142-Dy3Cu4Ge4	icsd_627142-Dy3Cu4Ge4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_52332-V5Sb4	icsd_52332-V5Sb4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_245435-Rb4C1O4	icsd_245435-Rb4C1O4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_106878-Er1Co2Ge2	icsd_106878-Er1Co2Ge2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_58892-Ca1Ga4	icsd_58892-Ca1Ga4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_76573-Nb5Sb4	icsd_76573-Nb5Sb4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_616975-Pr4Bi2	icsd_616975-Pr4Bi2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_20299-Ca1Si2Ni2	icsd_20299-Ca1Si2Ni2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_602121-Sm1P2Ru2	icsd_602121-Sm1P2Ru2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_604549-Lu1Fe2B2	icsd_604549-Lu1Fe2B2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_76027-Nb2P2	icsd_76027-Nb2P2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_638721-Hf1Si2Ni2	icsd_638721-Hf1Si2Ni2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_608823-Pr2Al1Ni2	icsd_608823-Pr2Al1Ni2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_69681-Rb2Mg1F4	icsd_69681-Rb2Mg1F4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_53089-Yb1Co2Si2	icsd_53089-Yb1Co2Si2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_653363-Tm2Zn4	icsd_653363-Tm2Zn4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_616862-Nd4Bi2	icsd_616862-Nd4Bi2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_646127-Pr1Ni2P2	icsd_646127-Pr1Ni2P2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_40319-U1Cr4C4	icsd_40319-U1Cr4C4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_14096-Ba2Ge4	icsd_14096-Ba2Ge4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_609849-Ba1Cr2As2	icsd_609849-Ba1Cr2As2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_641292-K1P2Rh2	icsd_641292-K1P2Rh2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_150533-Th2Ga4	icsd_150533-Th2Ga4.sh	?
